id;cedula_beneficiario;telefono_emisor;telefono_beneficiario;monto;banco_emisor;concepto;referencia;fecha_hora
1;Comunicaciones V;Interacciones ;open-source Ho;conglomeración;Amér;Gris;Pescado scale;Kina Patatas
2;mano;mesh defectos ;RAM AI Ensalad;back-end Netherlands;pote;Cambridgeshire navigate;feed Genérico;herramientas overriding Eslove
3;intangible compr;PCI;Plástico;generating;Barr;dynamic Guantes Administrador;compressing Inv;Ergonómico Bricolaje
4;New e-services s;Mesa virtual;unleash Deport;Puerto matrix;Iden;seize;Pizza Implement;Account platforms
5;Martinica compre;Ladrillo;payment;withdrawal Cataluña;Doll;calculating overriding Berkshire;users JSON;Adaptativo Korean partnerships
6;AGP;SMTP;whiteboard;a online;Inte;Regional parsing Ordenador;methodologies m;iterate
7;Cliente;compressing;Gabón;Regional up Berkshir;desa;Azul Savings Sabroso;Comoro Loan Dol;Sabroso navigate
8;multi-byte;sensor invoice;Corporativo De;transmitter;Segu;Buckinghamshire;haptic Blanco N;Senior Estratega Shilling
9;Moda Pakistan;cutting-edge;Pa'anga Chilea;Avanzado invoice Ace;Opci;Lado application;Pakistan Hecho;Granito Siria
10;FTP;Carretera Mone;plug-and-play;compuesto Cambridges;Acco;bluetooth Jefe;Guapo;Gris
